"Timestamp","¿Vas a asistir a la reunión preSAN para estudiantes de grado/doctorado/posdoctorado?","Edad","Seleccioná la opción que mejor te represente.","Seleccioná todas las opciones que correspondan","Ciudad, Provincia","Posición","¿Publicaste alguna búsqueda de estudiante para realizar tesina de licenciatura, candidate a beca doctoral o posdoctoral durante 2020/2021/2022?","En relación a dichas búsquedas durante 2020/2021/2022, ¿cuántas entrevistas concretaste?","En relación a dichas búsquedas y entrevistas, ¿cuántas personas finalmente tomaste para dirigir?","Durante 2020, 2021, 2022, ¿te escribieron estudiantes interesades en tu trabajo/laboratorio que no acudieron específicamente por un llamado publicado?","Contanos tus impresiones sobre el proceso de búsqueda de estudiantes durante el tiempo que llevás dirigiendo... ¿Cambió el número de personas que te contactan? ¿Te cuesta más o menos difundir tus búsquedas? ¿Sentís más o menos competencia con otras posibilidades laborales? ¿Es un asunto que te preocupa o no por ahora?","Carrera, Universidad","Actualmente, ¿estás trabajando en un laboratorio en el área de las neurociencias?","¿Hace cuánto tiempo estás trabajando en un laboratorio en el área de las neurociencias?","¿Ingresaste al laboratorio para realizar una tesis de licenciatura o trabajo final de grado?","¿Cuál es tu intención de realizar un doctorado  en el área de las neurociencias?  ","Marcá todas las opciones que correspondan.","¿Qué alternativas estás considerando?","¿Consideraste otras alternativas laborales?","Seleccioná la opción que mejor te represente","Doctorado, Universidad","¿Qué tipo de beca tenés?","¿En qué estadío de tu doctorado estás?","¿Cuál es tu intención de realizar un posdoctorado en el área de las neurociencias?  ","Marcá todas las opciones que correspondan.","¿Qué alternativas estás considerando?","¿Consideraste otras alternativas laborales?","Seleccioná la opción que mejor te represente","¿Qué tipo de beca tenés?","¿En qué estadío de tu posdoctorado estás?","¿Cuál es tu intención de ingresar a carrera científica en Argentina en el área de las neurociencias?  (independientemente de que hagas o no un segundo posdoctorado)","Marcá todas las opciones que correspondan.","¿Qué alternativas estás considerando?","¿Consideraste otras alternativas laborales?","Seleccioná la opción que mejor te represente","¿Con quién/quiénes conversas sobre tu futuro profesional?","¿Qué pensamientos/emociones te despierta tomar este tipo de decisiones?"
"2022/07/27 4:40:27 PM GMT-3","Probablemente sí","36","Prefiero no responder esta pregunta","Soy la primera persona con título de educación superior/universitaria en mi familia","CABA ","Soy investigador/a/e asistente o adjunto","No","Ninguna","No publiqué ninguna búsqueda","Sí",".","","","","","","","","","","","","","","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Ansiedad y curiosidad "
"2022/07/27 4:52:56 PM GMT-3","No, soy estudiante pero no me interesa la actividad.","32","Soy mujer cis","No corresponde ninguna de las opciones anteriores","CABA","Soy estudiante de doctorado","","","","","","","","","","","","","","","Biología UBA","Beca CONICET","+ 5 años, estoy cerca de defender la tesis (dentro del próximo año)","No quiero hacer un posdoctorado  en el área de las neurociencias.","No quiero/puedo/me interesa seguir una carrera científica por motivos económicos.;No quiero/puedo/me interesa seguir una carrera científica por motivos relacionados al sistema científico actual.","Análisis de datos / programación;Tareas científicas en industrias;Tareas científicas en centros relacionados a la salud (Ej., análisis clínicos, genética, fertilidad)","","","","","","","","","","Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.","Incertidumbre, angustia pero dado el contexto actual veo muy difícil la continuidad en el ámbito científico. "
"2022/07/27 6:52:00 PM GMT-3","Probablemente sí","34","Soy mujer cis","No corresponde ninguna de las opciones anteriores","Caba","Soy estudiante de posdoctorado","","","","","","","","","","","","","","","","","","","","","","","Beca CONICET","0-30%","Tengo algunas intenciones de ingresar a carrera científica en el área de las neurociencias.","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.","Incertidumbre, duda"
"2022/07/27 6:53:33 PM GMT-3","Sí","29","Soy varón cis","No corresponde ninguna de las opciones anteriores","CABA","Soy estudiante de doctorado","","","","","","","","","","","","","","","Biología, UBA","Beca AGENCIA","4to año","Tengo algunas intenciones de hacer un posdoctorado en el área de las neurociencias.","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Estudiantes del laboratorio.","Incertidumbre, pero me gusta saber que hay cosas nuevas por delante."
"2022/07/27 7:18:14 PM GMT-3","Probablemente sí","27","Soy mujer cis","No corresponde ninguna de las opciones anteriores","CABA","Soy estudiante de doctorado","","","","","","","","","","","","","","","Biología, UBA","Beca CONICET","4to año","Tengo muchas intenciones de hacer un posdoctorado en el área de las neurociencias.","","","Sí, pero no tuve una oferta de trabajo concreta.","Quiero hacer un posdoctorado en el exterior pero aún no tengo ofertas seguras.","","","","","","","","No hablo con frecuencia sobre proyectos profesionales futuros.;Amigues/familiares que no pertenecen al ámbito científico.;Estudiantes del laboratorio.","Me emociona un poco la idea de vivir un tiempo afuera y conocer otro lugar, otra cultura y sobretodo laboratorios con más recursos. También es aterrador porque es algo muy nuevo y que puede ser un desastre total. Por otro lado el sistema científico es muy desalentador porque siempre hay que estar en búsqueda de becas, y es muy difícil lograr cierta estabilidad, siento que estamos muy precarizados y que por más que seamos profesionales muy formados y con mucho esfuerzo diario, no logramos mucho, seguimos sin tener aportes, una obra social con plan familiar, etc. Asique estoy un poco desalentada con esta nueva situación de tener que pensar que hacer con tu vida y sobre todo pensando en quedarme en la academia"
"2022/07/27 9:52:57 PM GMT-3","Probablemente sí","32","Soy mujer cis","Soy la primera persona con título de educación superior/universitaria en mi familia","San Luis, San Luis ","Soy estudiante de posdoctorado","","","","","","","","","","","","","","","","","","","","","","","No tengo beca","0-30%","Quiero ingresar a carrera científica en el área de las neurociencias.","","","Sí, pero no me convencieron tanto como la opción de ingresar a carrera científica en el área de las neurociencias.","Quiero seguir mi carrera científica en el exterior pero aún no tengo ofertas seguras.","Amigues/familiares  que pertenecen al ámbito científico.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.;Psicóloga ","Ansiedad, angustia, incertidumbre "
"2022/07/28 10:04:01 AM GMT-3","Sí","29","Soy varón cis","No corresponde ninguna de las opciones anteriores","CABA","Soy estudiante de doctorado","","","","","","","","","","","","","","","Biología, UBA","Beca CONICET","Más o menos en la mitad (tercer año)","Tengo algunas intenciones de hacer un posdoctorado en el área de las neurociencias.","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.","Me inquieta porque, de hacerlo, me gustaría realizar el postdoc afuera de Argentina y no por ello tener que cortar con mis vínculos de acá (en pos de una carrera académica). Parece dificil poder mantener relaciones + encontrar un laboratorio con gente piola + que la ciudad nueva sea afin a une + el tema de investigación esté más o menos bueno. Por otro lado, no estoy 100% seguro de querer seguir en la academia tradicional, por lo que también viene acompañado de bastante incerteza. "
"2022/07/28 1:54:42 PM GMT-3","Sí","28","Soy mujer cis","No corresponde ninguna de las opciones anteriores","CABA","Soy estudiante de doctorado","","","","","","","","","","","","","","","Biología, UBA","Beca CONICET","4to año","Quiero hacer un posdoctorado en el área de las neurociencias.","","","Sí, pero no me convencieron tanto como la opción de realizar un posdoctorado en el área de las neurociencias.","Quiero hacer un posdoctorado en el exterior pero aún no tengo ofertas seguras.","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Una ansiedad descomunal"
"2022/07/29 12:36:21 PM GMT-3","Probablemente sí","31","Soy varón cis","Soy la primera persona con título de educación superior/universitaria en mi familia","CABA","Soy estudiante de doctorado","","","","","","","","","","","","","","","Biología, UBA","Beca CONICET","Más o menos en la mitad (tercer año)","Quiero hacer un posdoctorado en el área de las neurociencias.","","","Sí, pero no tuve una oferta de trabajo concreta.","Haría un posdoctorado en Argentina, considero la opción de mudarme a otra ciudad.","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.","."
"2022/07/29 1:58:50 PM GMT-3","Sí","33","Soy mujer cis","No corresponde ninguna de las opciones anteriores","caba","Soy estudiante de doctorado","","","","","","","","","","","","","","","Biologia, UBA","Beca CONICET","4to año","Tengo muchas intenciones de hacer un posdoctorado en el área de las neurociencias.","","","No","Haría un posdoctorado en Argentina, en la misma ciudad en la que resido actualmente.","","","","","","","","Investigadores/directores del laboratorio.","Preocupacion por el tema economico"
"2022/08/03 4:58:54 PM GMT-3","Sí","27","Soy mujer cis","Soy la primera persona con título de educación superior/universitaria en mi familia","CABA","Soy estudiante de doctorado","","","","","","","","","","","","","","","Biología,UBA","Beca AGENCIA","Comenzando (primer o segundo año)","Quiero hacer un posdoctorado en el área de las neurociencias.","","","Sí, pero no me convencieron tanto como la opción de realizar un posdoctorado en el área de las neurociencias.","Quiero hacer un posdoctorado en el exterior pero aún no tengo ofertas seguras.","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Ansiedad, miedo de que mi CV no sea suficiente si quiero irme al exterior, extrañar a mi familia"
"2022/08/03 4:59:14 PM GMT-3","Probablemente sí","31","Soy varón cis","Pertenezco a la comunidad LGBTIQ+","CABA","Soy estudiante de doctorado","","","","","","","","","","","","","","","MEDICINA, UBA","Beca CONICET","+ 5 años, estoy cerca de defender la tesis (dentro del próximo año)","Quiero hacer un posdoctorado en el área de las neurociencias.","","","Sí, pero no me convencieron tanto como la opción de realizar un posdoctorado en el área de las neurociencias.","Quiero hacer un posdoctorado en el exterior pero aún no tengo ofertas seguras.","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Estudiantes del laboratorio.","Ansiedad, angustia "
"2022/08/03 5:01:07 PM GMT-3","Sí","30","Soy varón cis","No corresponde ninguna de las opciones anteriores","Caba","Soy estudiante de doctorado","","","","","","","","","","","","","","","Biología, UBA","Beca CONICET","5to año, tengo opción de pedir prórroga y la voy a tomar","Tengo algunas intenciones de hacer un posdoctorado en el área de las neurociencias.","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.","Me conflictua mucho. Tengo ganas de hacer ciencia, pero no me convence el sistema científico nacional y emigrar quizás no sea una opción "
"2022/08/03 5:01:28 PM GMT-3","Probablemente sí","35","Soy mujer cis","Pertenezco a la comunidad LGBTIQ+","Cordoba","Soy estudiante de posdoctorado","","","","","","","","","","","","","","","","","","","","","","","Beca CONICET","30-60%","Tengo algunas intenciones de ingresar a carrera científica en el área de las neurociencias.","","","","","Estudiantes del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Ansiedad"
"2022/08/03 5:17:14 PM GMT-3","Sí","32","Soy mujer cis","No corresponde ninguna de las opciones anteriores","Caba","Soy estudiante de doctorado","","","","","","","","","","","","","","","Medicina, UBA","Beca CONICET (PUE)","Comenzando (primer o segundo año)","Tengo algunas intenciones de hacer un posdoctorado en el área de las neurociencias.","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Investigadores/directores del laboratorio.","Entusiasmo"
"2022/08/03 5:20:13 PM GMT-3","No, soy estudiante pero no puedo asistir.","36","Ninguna de estas opciones me representa","Pertenezco a la comunidad LGBTIQ+;Me reconozco afrodescendiente o tengo un antepasado negro o africano","MENDOZA ","Soy estudiante de doctorado","","","","","","","","","","","","","","","Probiol, UNCUYO ","Beca CONICET (PUE)","5to año, no tengo opción de pedir prórroga // tengo opción de pedir prórroga pero no la voy a tomar","No quiero hacer un posdoctorado  en el área de las neurociencias.","No quiero/puedo/me interesa seguir una carrera científica por motivos económicos.;No quiero/puedo/me interesa seguir una carrera científica por motivos relacionados al sistema científico actual.","Análisis de datos / programación;Tareas científicas en industrias;Tareas de gestión en organismos científicos","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.","Mucha ansiedad,  incertidumbre y miedo."
"2022/08/03 6:54:13 PM GMT-3","Sí","35","Soy mujer cis","Soy la primera persona con título de educación superior/universitaria en mi familia","CABA","Soy estudiante de doctorado","","","","","","","","","","","","","","","Psicología, UNC","Beca CONICET","+ 5 años, estoy cerca de defender la tesis (dentro del próximo año)","Tengo muchas intenciones de hacer un posdoctorado en el área de las neurociencias.","","","No","Haría un posdoctorado en Argentina, en la misma ciudad en la que resido actualmente.","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Amigues/familiares  que pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.;Investigadores/profesores que no pertenecen al laboratorio en el que trabajo.","Frustración y ansiedad porque puede que por más esfuerzo que haga me quede sin beca posdoc igual. Tristeza por compas que están en la misma o ya se quedaron sin ingreso.
(Investigar es trabajar. No somos estudiantes, somos trabajadorxs sin derechos laborales)"
"2022/08/04 9:39:48 AM GMT-3","No, soy estudiante pero no puedo asistir.","31","Prefiero no responder esta pregunta","No corresponde ninguna de las opciones anteriores","Bahía Blanca, Buenos Aires","Soy estudiante de doctorado","","","","","","","","","","","","","","","Bioquímica, Universidad Nacional del Sur","Beca CONICET","+ 5 años, estoy cerca de defender la tesis (dentro del próximo año)","Quiero hacer un posdoctorado en el área de las neurociencias.","","","No","Haría un posdoctorado en Argentina, en la misma ciudad en la que resido actualmente.","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.","Incertidumbre, falta de previsibilidad. Miedo de no poder dedicarme a lo que me apasiona"
"2022/08/04 11:45:58 AM GMT-3","No, soy estudiante pero no puedo asistir.","28","Soy mujer cis","No corresponde ninguna de las opciones anteriores","Cordoba, Cordoca","Soy estudiante de doctorado","","","","","","","","","","","","","","","Neurociencias","Beca CONICET (PUE)","Comenzando (primer o segundo año)","Tengo algunas intenciones de hacer un posdoctorado en el área de las neurociencias.","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.","Incertidumbre de las pocas posibilidades que hay en Argentina en cuanto financiamiento a la hora de realizar investigacion "
"2022/08/04 1:46:01 PM GMT-3","Probablemente sí","24","Soy mujer cis","Soy la primera persona con título de educación superior/universitaria en mi familia","Córdoba,Córdoba","Soy estudiante de grado","","","","","","Licenciatura en Genética, UNaM","Sí, trabajo ad honorem","Entre 1 y 2 años","Sí, pero igualmente hubiera ingresado a algún laboratorio por interés personal.","Quiero hacer un doctorado en el área de las neurociencias.","","","Sí, pero no me convencieron tanto como la opción de realizar un doctorado en el área de las neurociencias.","Haría un doctorado en Argentina, en la misma ciudad en la que resido actualmente.","","","","","","","","","","","","","","","","Amigues/familiares que no pertenecen al ámbito científico.;Estudiantes del laboratorio.;Investigadores/directores del laboratorio.","Trabajar en esta área me despierta nostalgia y esperanza, ya que de chica tuve noción de lo que puede generar una enfermedad neurodegenerativa en una persona, y por otro lado, decidir hacer un doctorado, incertidumbre, al ser un camino nuevo a transitar. "
